date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:16	130/130	---M-Z	200	added ('OK')	text/plain	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/robots.txt		(from )
15:42:17	19009/19009	---M-Z	200	added ('OK')	text/html	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/	C:/xampp/htdocs/Test%20Website/angular/angular.io/index.html	(from )
15:42:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:20%20GMT	http://angular.io/assets/opensearch.xml	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/opensearch.0.delayed	(from https://angular.io/)
15:42:17	537/537	---M-Z	200	added ('OK')	application/xml	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/opensearch.xml	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/opensearch.xml	(from https://angular.io/)
15:42:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:21%20GMT	http://angular.io/assets/images/favicons/favicon.ico	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon.2.delayed	(from https://angular.io/)
15:42:18	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/images/favicons/favicon.ico	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon.ico	(from https://angular.io/)
15:42:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:21%20GMT	http://angular.io/assets/images/favicons/favicon-32x32.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-32x32.4.delayed	(from https://angular.io/)
15:42:18	1593/1593	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/images/favicons/favicon-32x32.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-32x32.png	(from https://angular.io/)
15:42:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:22%20GMT	http://angular.io/assets/images/favicons/favicon-194x194.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-194x194.6.delayed	(from https://angular.io/)
15:42:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:22%20GMT	http://angular.io/assets/images/favicons/favicon-96x96.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-96x96.8.delayed	(from https://angular.io/)
15:42:19	11242/11242	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/images/favicons/favicon-194x194.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-194x194.png	(from https://angular.io/)
15:42:19	4833/4833	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/images/favicons/favicon-96x96.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-96x96.png	(from https://angular.io/)
15:42:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:23%20GMT	http://angular.io/assets/images/favicons/favicon-16x16.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-16x16.a.delayed	(from https://angular.io/)
15:42:20	753/753	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Jul%202021%2000:38:34%20GMT	https://angular.io/assets/images/favicons/favicon-16x16.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-16x16.png	(from https://angular.io/)
15:42:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2005%20Jul%202021%2010:12:23%20GMT	http://angular.io/assets/images/favicons/favicon-144x144.png	C:/xampp/htdocs/Test%20Website/angular/angular.io/assets/images/favicons/favicon-144x144.c.delayed	(from https://angular.io/)
